away_points_conceded	away_points_scored	away_wins	draws	ga	gf	home_wins	is_qualified	lost	noresult	played	points	points_conceded	points_scored	position	position_status	prev_position	score_diff	team_global_id	team_id	team_name	team_short_name	tied	trump_matches_won	wins	season
0	0	0	1			0	False	3	0	14	54	0	54	1			0	0	3	Jaipur Pink Panthers	Jaipur	1	0	10	1
0	0	0	3			0	False	3	0	14	51	0	51	2			0	0	5	U Mumba	Mumbai	3	0	8	1
0	0	0	1			0	False	5	0	14	47	0	47	3			0	0	1	Bengaluru Bulls	Bengaluru	1	0	8	1
0	0	0	2			0	False	5	0	14	45	0	45	4			0	0	6	Patna Pirates	Patna	2	0	7	1
0	0	0	3			0	False	5	0	14	42	0	42	5			0	0	8	Telugu Titans	Hyderabad	3	0	6	1
0	0	0	1			0	False	8	0	14	32	0	32	6			0	0	2	Dabang Delhi K.C.	Delhi	1	0	5	1
0	0	0	1			0	False	9	0	14	24	0	24	7			0	0	4	Bengal Warriors	Bengal	1	0	4	1
0	0	0	0			0	False	12	0	14	17	0	17	8			0	0	7	Puneri Paltan	Pune	0	0	2	1
0	0	0	0			0	False	2	0	14	60	40	60	1			40	0	5	U Mumba	Mumbai	0	0	12	2
0	0	0	3			0	False	3	0	14	50	85	50	2			85	0	8	Telugu Titans	Hyderabad	3	0	8	2
0	0	0	0			0	False	5	0	14	48	55	48	3			55	0	1	Bengaluru Bulls	Bengaluru	0	0	9	2
0	0	0	1			0	False	6	0	14	41	-18	41	4			-18	0	6	Patna Pirates	Patna	1	0	7	2
0	0	0	1			0	False	7	0	14	38	43	38	5			43	0	3	Jaipur Pink Panthers	Jaipur	1	0	6	2
0	0	0	1			0	False	9	0	14	27	-63	27	6			-63	0	4	Bengal Warriors	Bengal	1	0	4	2
0	0	0	1			0	False	9	0	14	27	-68	27	7			-68	0	2	Dabang Delhi K.C.	Delhi	1	0	4	2
0	0	0	1			0	False	11	0	14	21	-74	21	8			-74	0	7	Puneri Paltan	Pune	1	0	2	2
0	0	0	0			0	False	2	0	14	60	95	60	1			95	0	5	U Mumba	Mumbai	0	0	12	3
0	0	0	2			0	False	2	0	14	58	104	58	2			104	0	6	Patna Pirates	Patna	2	0	10	3
0	0	0	3			0	False	4	0	14	48	92	48	3			92	0	7	Puneri Paltan	Pune	3	0	7	3
0	0	0	0			0	False	5	0	14	47	26	47	4			26	0	4	Bengal Warriors	Bengal	0	0	9	3
0	0	0	0			0	False	7	0	14	38	-10	38	5			-10	0	8	Telugu Titans	Hyderabad	0	0	7	3
0	0	0	2			0	False	8	0	14	28	-63	28	6			-63	0	3	Jaipur Pink Panthers	Jaipur	2	0	4	3
0	0	0	0			0	False	12	0	14	14	-102	14	7			-102	0	1	Bengaluru Bulls	Bengaluru	0	0	2	3
0	0	0	1			0	False	12	0	14	11	-142	11	8			-142	0	2	Dabang Delhi K.C.	Delhi	1	0	1	3
0	0	0	0			0	False	4	0	14	52	14	52	1			14	0	6	Patna Pirates	Patna	0	0	10	4
0	0	0	2			0	False	4	0	14	50	67	50	2			67	0	8	Telugu Titans	Hyderabad	2	0	8	4
0	0	0	1			0	False	5	0	14	47	22	47	3			22	0	3	Jaipur Pink Panthers	Jaipur	1	0	8	4
0	0	0	2			0	False	6	0	14	42	23	42	4			23	0	7	Puneri Paltan	Pune	2	0	6	4
0	0	0	1			0	False	6	0	14	42	-18	42	5			-18	0	5	U Mumba	Mumbai	1	0	7	4
0	0	0	1			0	False	8	0	14	32	-55	32	6			-55	0	1	Bengaluru Bulls	Bengaluru	1	0	5	4
0	0	0	1			0	False	9	0	14	29	7	29	7			7	0	2	Dabang Delhi K.C.	Delhi	1	0	4	4
0	0	0	2			0	False	9	0	14	26	-60	26	8			-60	0	4	Bengal Warriors	Bengal	2	0	3	4
0	0	0	3			0	True	4	0	22	87	126	87	1			126	0	31	Gujarat Fortunegiants	Gujarat	3	0	15	5
0	0	0	0			0	True	7	0	22	80	91	80	2			91	0	7	Puneri Paltan	Pune	0	0	15	5
0	0	0	4			0	True	5	0	22	79	40	79	3			40	0	28	Haryana Steelers	Haryana	4	0	13	5
0	0	0	0			0	False	12	0	22	56	-50	56	4			-50	0	5	U Mumba	Mumbai	0	0	10	5
0	0	0	1			0	False	13	0	22	51	-91	51	5			-91	0	3	Jaipur Pink Panthers	Jaipur	1	0	8	5
0	0	0	1			0	False	16	0	22	38	-134	38	6			-134	0	2	Dabang Delhi K.C.	Delhi	1	0	5	5
0	0	0	6			0	True	5	0	22	77	19	77	1			19	0	4	Bengal Warriors	Bengal	6	0	11	5
0	0	0	5			0	True	7	0	22	71	60	71	2			60	0	6	Patna Pirates	Patna	5	0	10	5
0	0	0	4			0	True	10	0	22	60	2	60	3			2	0	30	U.P. Yoddha	UP	4	0	8	5
0	0	0	3			0	False	11	0	22	57	10	57	4			10	0	1	Bengaluru Bulls	Bengaluru	3	0	8	5
0	0	0	3			0	False	12	0	22	52	-2	52	5			-2	0	8	Telugu Titans	Hyderabad	3	0	7	5
0	0	0	2			0	False	14	0	22	46	-71	46	6			-71	0	29	Tamil Thalaivas	Tamil Nadu	2	0	6	5
0	0	0	2			0	True	3	0	22	93	117	93	1			117	0	31	Gujarat Fortunegiants	Gujarat	2	0	17	6
0	0	0	2			0	True	5	0	22	86	189	86	2			189	0	5	U Mumba	Mumbai	2	0	15	6
0	0	0	2			0	True	9	0	22	68	-1	68	3			-1	0	2	Dabang Delhi K.C.	Delhi	2	0	11	6
0	0	0	2			0	False	12	0	22	52	-45	52	4			-45	0	7	Puneri Paltan	Pune	2	0	8	6
0	0	0	3			0	False	13	0	22	43	-69	43	5			-69	0	3	Jaipur Pink Panthers	Jaipur	3	0	6	6
0	0	0	2			0	False	14	0	22	42	-91	42	6			-91	0	28	Haryana Steelers	Haryana	2	0	6	6
0	0	0	2			0	True	7	0	22	78	104	78	1			104	0	1	Bengaluru Bulls	Bengaluru	2	0	13	6
0	0	0	2			0	True	8	0	22	69	2	69	2			2	0	4	Bengal Warriors	Bengal	2	0	12	6
0	0	0	4			0	True	10	0	22	57	-45	57	3			-45	0	30	U.P. Yoddha	UP	4	0	8	6
0	0	0	2			0	False	11	0	22	55	-36	55	4			-36	0	6	Patna Pirates	Patna	2	0	9	6
0	0	0	1			0	False	13	0	22	51	-55	51	5			-55	0	8	Telugu Titans	Hyderabad	1	0	8	6
0	0	0	4			0	False	13	0	22	42	-70	42	6			-70	0	29	Tamil Thalaivas	Tamil Nadu	4	0	5	6
0	0	0	2			0	True	2	0	17	72	68	72	1			68	0	2	Dabang Delhi K.C.	Delhi	2	0	13	7
0	0	0	3			0	True	4	0	18	68	85	68	2			85	0	4	Bengal Warriors	Bengal	3	0	11	7
0	0	0	1			0	False	5	0	17	59	30	59	3			30	0	28	Haryana Steelers	Haryana	1	0	11	7
0	0	0	1			0	False	7	0	17	53	35	53	4			35	0	5	U Mumba	Mumbai	1	0	9	7
0	0	0	1			0	False	8	0	18	53	10	53	5			10	0	1	Bengaluru Bulls	Bengaluru	1	0	9	7
0	0	0	2			0	False	6	0	17	53	-26	53	6			-26	0	30	U.P. Yoddha	UP	2	0	9	7
0	0	0	2			0	False	9	0	18	47	-7	47	7			-7	0	3	Jaipur Pink Panthers	Jaipur	2	0	7	7
0	0	0	3			0	False	9	0	18	42	-42	42	8			-42	0	7	Puneri Paltan	Pune	3	0	6	7
0	0	0	1			0	False	11	0	18	39	3	39	9			3	0	6	Patna Pirates	Patna	1	0	6	7
0	0	0	2			0	False	11	0	18	39	-14	39	10			-14	0	31	Gujarat Fortunegiants	Gujarat	2	0	5	7
0	0	0	3			0	False	9	0	16	33	-58	33	11			-58	0	8	Telugu Titans	Hyderabad	3	0	4	7
0	0	0	3			0	False	12	0	18	30	-84	30	12			-84	0	29	Tamil Thalaivas	Tamil Nadu	3	0	3	7
